0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:29:41 +0530] "GET /myproject/login.jsp HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:29:53 +0530] "POST /myproject/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:29:53 +0530] "GET /myproject/admin.jsp HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:29:58 +0530] "GET /myproject/project.jsp HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:30:10 +0530] "POST /myproject/Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:30:10 +0530] "GET /myproject/project.jsp HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:21 +0530] "POST /myproject/Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:21 +0530] "GET /myproject/project.jsp HTTP/1.1" 200 5354
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:21 +0530] "GET /myproject/images/myprojects/2024-02-12T203121.774601500IMG20230419190311.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:37 +0530] "GET /myproject/project.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:37 +0530] "GET /myproject/images/myprojects/2024-02-12T203121.774601500IMG20230419190311.jpg HTTP/1.1" 200 4039200
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:42 +0530] "GET /myproject/index.jsp HTTP/1.1" 200 13065
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:31:42 +0530] "GET /myproject/images/myprojects/2024-02-12T203121.774601500IMG20230419190311.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:32:38 +0530] "GET /myproject/admin.jsp HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:32:39 +0530] "GET /myproject/update-project.jsp HTTP/1.1" 200 5535
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:32:39 +0530] "GET /myproject/images/myprojects/2024-02-12T203121.774601500IMG20230419190311.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:32:56 +0530] "POST /myproject/Project HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Feb/2024:20:33:02 +0530] "POST /myproject/Project HTTP/1.1" 200 -
